zcyc

tradedate;tradetime;period_5.0
25.05.2015;18:37:54;10,56
26.05.2015;18:39:50;10,77
27.05.2015;18:33:30;10,78
28.05.2015;18:39:03;10,92
29.05.2015;18:37:11;10,75
01.06.2015;18:38:45;10,84
02.06.2015;18:33:19;10,8
03.06.2015;18:39:27;10,97
04.06.2015;18:37:36;11,27
05.06.2015;18:31:03;11,2
08.06.2015;18:38:32;11,24
09.06.2015;18:38:21;11,08
10.06.2015;18:35:41;10,84
11.06.2015;18:36:34;10,92
15.06.2015;18:39:24;11,04
16.06.2015;18:39:13;11,11
17.06.2015;18:34:51;11,18
18.06.2015;18:39:21;11,21
19.06.2015;18:33:26;11,2
22.06.2015;18:34:29;11,09
23.06.2015;18:39:46;11,04
24.06.2015;18:33:32;11,12
25.06.2015;18:37:29;11,13
26.06.2015;18:39:01;11,2
29.06.2015;18:38:07;11,24
30.06.2015;18:38:57;11,15
01.07.2015;18:37:29;11,14
02.07.2015;18:38:20;11,12
03.07.2015;18:39:17;11,1
06.07.2015;18:39:32;11,17
07.07.2015;18:39:18;11,29
08.07.2015;18:39:51;11,3
09.07.2015;18:39:36;11,17
10.07.2015;18:39:07;11,04
13.07.2015;18:39:46;11,06
14.07.2015;18:39:07;10,97
15.07.2015;18:39:24;10,85
16.07.2015;18:33:29;10,62
17.07.2015;18:39:18;10,5
20.07.2015;18:37:17;10,66
21.07.2015;18:38:55;10,75
22.07.2015;18:38:27;10,85
23.07.2015;18:39:47;10,79
24.07.2015;18:39:28;10,96
27.07.2015;18:38:11;11,09
28.07.2015;18:39:28;11,17
29.07.2015;18:39:20;10,91
30.07.2015;18:39:47;11,01
31.07.2015;18:38:53;10,86
03.08.2015;18:39:56;11,08
04.08.2015;18:39:28;11,05
05.08.2015;18:37:56;11,08
06.08.2015;18:39:37;11,16
07.08.2015;18:39:40;11,14
10.08.2015;18:39:13;11,09
11.08.2015;18:38:02;11,16
12.08.2015;18:37:32;11,17
13.08.2015;18:39:46;11,13
14.08.2015;18:38:43;11,17
17.08.2015;18:39:25;11,26
18.08.2015;18:38:44;11,32
19.08.2015;18:39:50;11,35
20.08.2015;18:39:28;11,65
21.08.2015;18:39:26;11,95
24.08.2015;18:34:47;12,31
25.08.2015;18:34:53;12,09
26.08.2015;18:38:10;12,11
27.08.2015;18:39:51;11,89
28.08.2015;18:38:06;11,73
31.08.2015;18:39:54;11,85
01.09.2015;18:39:39;11,84
02.09.2015;18:39:26;11,88
03.09.2015;18:39:04;11,78
04.09.2015;18:39:46;11,84
07.09.2015;18:39:49;11,87
08.09.2015;18:39:22;11,8
09.09.2015;18:39:35;11,73
10.09.2015;18:38:40;11,73
11.09.2015;18:39:52;11,71
14.09.2015;18:37:00;11,66
15.09.2015;18:36:43;11,57
16.09.2015;18:24:15;11,49
17.09.2015;18:30:08;11,47
18.09.2015;18:37:29;11,43
21.09.2015;18:39:52;11,3
22.09.2015;18:38:52;11,33
23.09.2015;18:39:15;11,25
24.09.2015;18:14:56;11,42
25.09.2015;18:24:03;11,31
28.09.2015;18:31:51;11,33
29.09.2015;18:32:09;11,32
30.09.2015;18:37:15;11,35
01.10.2015;18:33:30;11,19
02.10.2015;18:33:33;11,27
05.10.2015;18:38:50;10,98
06.10.2015;18:37:51;10,62
07.10.2015;17:45:46;10,57
08.10.2015;18:38:30;10,51
09.10.2015;18:38:48;10,6
12.10.2015;18:34:13;10,56
13.10.2015;18:17:27;10,63
14.10.2015;18:38:31;10,54
15.10.2015;18:39:51;10,38
16.10.2015;18:20:20;10,13
19.10.2015;18:33:26;10,19
20.10.2015;18:33:18;10,2
21.10.2015;18:39:51;10,1
22.10.2015;18:37:51;10,09
23.10.2015;18:39:06;10,05
26.10.2015;18:33:12;10,0
27.10.2015;18:37:03;10,14
28.10.2015;18:39:33;10,0
29.10.2015;18:39:17;10,08
30.10.2015;18:35:37;10,14
02.11.2015;18:28:56;10,08
03.11.2015;18:24:29;9,86
05.11.2015;18:36:16;9,82
06.11.2015;18:39:00;9,91
09.11.2015;18:39:08;9,94
10.11.2015;18:38:30;9,85
11.11.2015;18:38:29;9,81
12.11.2015;18:04:21;10,01
13.11.2015;18:33:13;10,09
16.11.2015;18:39:09;10,06
17.11.2015;18:39:58;10,0
18.11.2015;18:38:49;9,97
19.11.2015;18:39:31;9,68
20.11.2015;18:38:16;9,73
23.11.2015;18:35:10;9,87
24.11.2015;18:29:20;10,07
25.11.2015;18:17:15;10,08
26.11.2015;18:39:30;10,0
27.11.2015;18:39:14;10,02
30.11.2015;18:39:16;10,0
01.12.2015;18:39:58;9,92
02.12.2015;18:39:09;9,92
03.12.2015;18:39:03;10,02
04.12.2015;18:33:06;9,98
07.12.2015;18:39:55;10,16
08.12.2015;18:33:23;10,14
09.12.2015;18:39:10;10,04
10.12.2015;18:35:22;10,04
11.12.2015;18:39:01;10,09
14.12.2015;18:31:13;10,2
15.12.2015;18:39:58;10,1
16.12.2015;18:38:57;10,08
17.12.2015;18:39:03;10,03
18.12.2015;18:38:11;10,03
21.12.2015;18:37:48;10,02
22.12.2015;18:39:18;10,06
23.12.2015;18:39:21;10,03
24.12.2015;18:35:54;9,95
25.12.2015;18:38:56;9,87
28.12.2015;18:39:54;9,84
29.12.2015;18:39:50;9,82
30.12.2015;18:39:50;9,78
04.01.2016;18:38:18;9,8
05.01.2016;18:39:52;9,74
06.01.2016;18:30:27;9,85
11.01.2016;18:39:51;10,35
12.01.2016;18:39:51;10,46
13.01.2016;18:39:33;10,52
14.01.2016;18:39:49;10,6
15.01.2016;18:39:54;10,72
18.01.2016;18:39:53;10,72
19.01.2016;18:39:56;10,57
20.01.2016;18:39:57;10,89
21.01.2016;18:39:23;10,93
22.01.2016;18:39:51;10,59
25.01.2016;18:39:46;10,66
26.01.2016;18:39:51;10,51
27.01.2016;18:39:44;10,36
28.01.2016;18:39:35;10,18
29.01.2016;18:39:32;10,26
01.02.2016;18:38:47;10,38
02.02.2016;18:39:33;10,5
03.02.2016;18:39:26;10,42
04.02.2016;18:36:19;10,26
05.02.2016;18:36:45;10,3
08.02.2016;18:39:02;10,39
09.02.2016;18:39:41;10,45
10.02.2016;18:39:50;10,33
11.02.2016;18:39:01;10,45
12.02.2016;18:39:18;10,37
15.02.2016;18:38:47;10,31
16.02.2016;18:39:49;10,33
17.02.2016;18:39:34;10,24
18.02.2016;18:39:32;10,08
19.02.2016;18:39:52;10,07
20.02.2016;18:20:42;10,0
22.02.2016;18:38:38;10,01
24.02.2016;18:39:51;10,0
25.02.2016;18:39:24;9,81
26.02.2016;18:37:30;9,71
29.02.2016;18:39:59;9,73
01.03.2016;18:37:01;9,45
02.03.2016;18:37:23;9,44
03.03.2016;18:39:52;9,36
04.03.2016;18:37:23;9,3
07.03.2016;18:39:41;9,26
09.03.2016;18:39:00;9,28
10.03.2016;18:39:34;9,33
11.03.2016;18:39:07;9,38
14.03.2016;18:25:10;9,47
15.03.2016;18:39:36;9,56
16.03.2016;18:34:51;9,46
17.03.2016;18:39:53;9,14
18.03.2016;18:39:51;9,03
21.03.2016;18:39:56;9,06
22.03.2016;18:39:24;9,07
23.03.2016;18:39:40;9,21
24.03.2016;18:35:53;9,27
25.03.2016;18:38:44;9,22
28.03.2016;18:33:26;9,26
29.03.2016;18:37:20;9,29
30.03.2016;18:38:17;9,17
31.03.2016;18:39:52;9,13
01.04.2016;18:39:17;9,19
04.04.2016;18:39:55;9,2
05.04.2016;18:39:40;9,27
06.04.2016;18:39:55;9,25
07.04.2016;18:39:57;9,35
08.04.2016;18:39:49;9,3
11.04.2016;18:39:33;9,26
12.04.2016;18:36:58;9,24
13.04.2016;18:39:49;9,28
14.04.2016;18:37:20;9,29
15.04.2016;18:37:53;9,27
18.04.2016;18:39:18;9,3
19.04.2016;18:39:49;9,24
20.04.2016;18:39:56;9,17
21.04.2016;18:39:45;9,23
22.04.2016;18:39:57;9,26
25.04.2016;18:38:58;9,28
26.04.2016;18:39:47;9,28
27.04.2016;18:39:43;9,26
28.04.2016;18:39:54;9,12
29.04.2016;18:39:47;8,99
04.05.2016;18:39:56;9,12
05.05.2016;18:39:58;9,08
06.05.2016;18:39:50;9,08
10.05.2016;18:39:12;9,09
11.05.2016;18:39:47;8,97
12.05.2016;18:38:09;8,98
13.05.2016;18:39:58;8,96
16.05.2016;18:39:14;8,97
17.05.2016;18:38:52;8,99
18.05.2016;18:39:00;9,04
19.05.2016;18:39:52;9,13
20.05.2016;18:39:45;9,09
23.05.2016;18:39:45;9,13
24.05.2016;18:39:44;9,11
25.05.2016;18:38:05;9,08
26.05.2016;18:39:45;9,11
27.05.2016;18:39:53;9,12
30.05.2016;18:39:49;9,13
31.05.2016;18:39:43;9,13
01.06.2016;18:39:47;9,23
02.06.2016;18:39:56;9,21
03.06.2016;18:39:44;9,15
06.06.2016;18:39:44;9,03
07.06.2016;18:39:52;9,0
08.06.2016;18:39:56;8,94
09.06.2016;18:39:48;8,94
10.06.2016;18:39:23;8,89
14.06.2016;18:39:49;8,96
15.06.2016;18:38:56;8,92
16.06.2016;18:39:52;8,99
17.06.2016;18:39:20;8,94
20.06.2016;18:39:51;8,82
21.06.2016;18:39:56;8,83
22.06.2016;18:39:48;8,8
23.06.2016;18:39:57;8,72
24.06.2016;18:39:18;8,79
27.06.2016;18:39:58;8,72
28.06.2016;18:39:40;8,64
29.06.2016;18:39:59;8,62
30.06.2016;18:39:55;8,54
01.07.2016;18:39:49;8,5
04.07.2016;18:39:56;8,54
05.07.2016;18:39:57;8,64
06.07.2016;18:39:28;8,71
07.07.2016;18:39:56;8,78
08.07.2016;18:39:53;8,77
11.07.2016;18:39:52;8,69
12.07.2016;18:39:59;8,6
13.07.2016;18:39:01;8,67
14.07.2016;18:39:56;8,59
15.07.2016;18:39:36;8,63
18.07.2016;18:39:55;8,65
19.07.2016;18:39:58;8,69
20.07.2016;18:39:49;8,7
21.07.2016;18:39:29;8,75
22.07.2016;18:39:55;8,8
25.07.2016;18:39:47;8,76
26.07.2016;18:39:55;8,81
27.07.2016;18:39:56;8,78
28.07.2016;18:39:47;8,7
29.07.2016;18:39:57;8,65
01.08.2016;18:39:36;8,67
02.08.2016;18:39:59;8,71
03.08.2016;18:39:56;8,76
04.08.2016;18:39:51;8,71
05.08.2016;18:39:57;8,66
08.08.2016;18:39:53;8,61
09.08.2016;18:39:54;8,55
10.08.2016;18:39:57;8,54
11.08.2016;18:39:55;8,54
12.08.2016;18:39:52;8,63
15.08.2016;18:39:32;8,62
16.08.2016;18:39:47;8,62
17.08.2016;18:39:47;8,67
18.08.2016;18:39:55;8,61
19.08.2016;18:39:56;8,58
22.08.2016;18:39:54;8,61
23.08.2016;18:39:59;8,57
24.08.2016;18:39:57;8,6
25.08.2016;18:39:43;8,57
26.08.2016;18:39:21;8,53
29.08.2016;18:39:56;8,54
30.08.2016;18:39:55;8,51
31.08.2016;18:39:50;8,43
01.09.2016;18:39:46;8,42
02.09.2016;18:39:53;8,37
05.09.2016;18:39:44;8,31
06.09.2016;18:39:58;8,24
07.09.2016;18:39:58;8,19
08.09.2016;18:39:52;8,1
09.09.2016;18:39:38;8,25
12.09.2016;18:39:52;8,23
13.09.2016;18:39:59;8,23
14.09.2016;18:39:48;8,21
15.09.2016;18:38:51;8,2
16.09.2016;18:38:55;8,35
19.09.2016;18:39:49;8,4
20.09.2016;18:39:37;8,44
21.09.2016;18:39:34;8,33
22.09.2016;18:38:52;8,27
23.09.2016;18:39:39;8,35
