zcyc

tradedate;tradetime;period_20.0
11.04.2016;18:39:33;9,12
12.04.2016;18:36:58;9,09
13.04.2016;18:39:49;9,15
14.04.2016;18:37:20;9,17
15.04.2016;18:37:53;9,17
18.04.2016;18:39:18;9,19
19.04.2016;18:39:49;9,12
20.04.2016;18:39:56;9,08
21.04.2016;18:39:45;9,1
22.04.2016;18:39:57;9,15
25.04.2016;18:38:58;9,19
26.04.2016;18:39:47;9,2
27.04.2016;18:39:43;9,16
28.04.2016;18:39:54;8,98
29.04.2016;18:39:47;8,75
04.05.2016;18:39:56;8,85
05.05.2016;18:39:58;8,83
06.05.2016;18:39:50;8,8
10.05.2016;18:39:12;8,8
11.05.2016;18:39:47;8,7
12.05.2016;18:38:09;8,64
13.05.2016;18:39:58;8,64
16.05.2016;18:39:14;8,61
17.05.2016;18:38:52;8,63
18.05.2016;18:39:00;8,65
19.05.2016;18:39:52;8,72
20.05.2016;18:39:45;8,65
23.05.2016;18:39:45;8,67
24.05.2016;18:39:44;8,66
25.05.2016;18:38:05;8,58
26.05.2016;18:39:45;8,59
27.05.2016;18:39:53;8,63
30.05.2016;18:39:49;8,69
31.05.2016;18:39:43;8,65
01.06.2016;18:39:47;8,81
02.06.2016;18:39:56;8,86
03.06.2016;18:39:44;8,71
06.06.2016;18:39:44;8,51
07.06.2016;18:39:52;8,37
08.06.2016;18:39:56;8,39
09.06.2016;18:39:48;8,46
10.06.2016;18:39:23;8,35
14.06.2016;18:39:49;8,47
15.06.2016;18:38:56;8,55
16.06.2016;18:39:52;8,63
17.06.2016;18:39:20;8,54
20.06.2016;18:39:51;8,45
21.06.2016;18:39:56;8,44
22.06.2016;18:39:48;8,41
23.06.2016;18:39:57;8,47
24.06.2016;18:39:18;8,55
27.06.2016;18:39:58;8,47
28.06.2016;18:39:40;8,39
29.06.2016;18:39:59;8,39
30.06.2016;18:39:55;8,27
01.07.2016;18:39:49;8,3
04.07.2016;18:39:56;8,3
05.07.2016;18:39:57;8,45
06.07.2016;18:39:28;8,4
07.07.2016;18:39:56;8,29
08.07.2016;18:39:53;8,41
11.07.2016;18:39:52;8,41
12.07.2016;18:39:59;8,48
13.07.2016;18:39:01;8,54
14.07.2016;18:39:56;8,61
15.07.2016;18:39:36;8,64
18.07.2016;18:39:55;8,74
19.07.2016;18:39:58;8,69
20.07.2016;18:39:49;8,72
21.07.2016;18:39:29;8,74
22.07.2016;18:39:55;8,78
25.07.2016;18:39:47;8,8
26.07.2016;18:39:55;8,85
27.07.2016;18:39:56;8,76
28.07.2016;18:39:47;8,75
29.07.2016;18:39:57;8,63
01.08.2016;18:39:36;8,54
02.08.2016;18:39:59;8,54
03.08.2016;18:39:56;8,54
04.08.2016;18:39:51;8,54
05.08.2016;18:39:57;8,45
08.08.2016;18:39:53;8,35
09.08.2016;18:39:54;8,33
10.08.2016;18:39:57;8,36
11.08.2016;18:39:55;8,36
12.08.2016;18:39:52;8,46
15.08.2016;18:39:32;8,38
16.08.2016;18:39:47;8,36
17.08.2016;18:39:47;8,37
18.08.2016;18:39:55;8,39
19.08.2016;18:39:56;8,42
22.08.2016;18:39:54;8,43
23.08.2016;18:39:59;8,37
24.08.2016;18:39:57;8,43
25.08.2016;18:39:43;8,36
26.08.2016;18:39:21;8,36
29.08.2016;18:39:56;8,35
30.08.2016;18:39:55;8,36
31.08.2016;18:39:50;8,34
01.09.2016;18:39:46;8,37
02.09.2016;18:39:53;8,38
05.09.2016;18:39:44;8,39
06.09.2016;18:39:58;8,37
07.09.2016;18:39:58;8,35
08.09.2016;18:39:52;8,32
09.09.2016;18:39:38;8,45
12.09.2016;18:39:52;8,43
13.09.2016;18:39:59;8,44
14.09.2016;18:39:48;8,46
15.09.2016;18:38:51;8,45
16.09.2016;18:38:55;8,53
19.09.2016;18:39:49;8,49
20.09.2016;18:39:37;8,48
21.09.2016;18:39:34;8,43
22.09.2016;18:38:52;8,36
23.09.2016;18:39:39;8,27
26.09.2016;18:39:08;8,23
27.09.2016;18:39:45;8,25
28.09.2016;18:39:23;8,21
29.09.2016;18:38:44;8,15
30.09.2016;18:39:58;8,15
03.10.2016;18:39:29;8,1
04.10.2016;18:39:43;8,11
05.10.2016;18:39:27;8,17
06.10.2016;18:38:53;8,2
07.10.2016;18:39:55;8,22
10.10.2016;18:39:00;8,27
11.10.2016;18:39:47;8,3
12.10.2016;18:38:55;8,39
13.10.2016;18:39:58;8,36
14.10.2016;18:39:59;8,37
17.10.2016;18:39:58;8,59
18.10.2016;18:39:58;8,58
19.10.2016;18:39:58;8,47
20.10.2016;18:39:58;8,45
21.10.2016;18:39:58;8,38
24.10.2016;18:39:58;8,41
25.10.2016;18:37:23;8,46
26.10.2016;18:39:58;8,5
27.10.2016;18:39:59;8,58
28.10.2016;18:39:50;8,62
31.10.2016;18:39:12;8,68
01.11.2016;18:39:58;8,67
02.11.2016;18:39:59;8,74
03.11.2016;18:39:58;8,68
07.11.2016;18:39:58;8,56
08.11.2016;18:39:58;8,53
09.11.2016;18:39:58;8,56
10.11.2016;18:39:56;8,75
11.11.2016;18:39:57;9,03
14.11.2016;18:39:56;8,97
15.11.2016;18:39:58;8,83
16.11.2016;18:39:53;8,94
17.11.2016;18:39:56;8,86
18.11.2016;18:39:50;8,87
21.11.2016;18:39:58;8,82
22.11.2016;18:39:39;8,86
23.11.2016;18:39:57;8,92
24.11.2016;18:39:57;8,9
25.11.2016;18:39:58;9,01
28.11.2016;18:39:58;8,99
29.11.2016;18:39:48;9,02
30.11.2016;18:39:48;8,98
01.12.2016;18:39:59;8,88
02.12.2016;18:39:57;8,89
05.12.2016;18:39:52;8,85
06.12.2016;18:39:56;8,78
07.12.2016;18:39:55;8,73
08.12.2016;18:39:59;8,68
09.12.2016;18:39:36;8,59
12.12.2016;18:38:33;8,54
13.12.2016;18:39:52;8,64
14.12.2016;18:39:57;8,63
15.12.2016;18:39:40;8,81
16.12.2016;18:39:54;8,76
19.12.2016;18:39:55;8,72
20.12.2016;18:39:47;8,77
21.12.2016;18:39:53;8,74
22.12.2016;18:39:58;8,72
23.12.2016;18:39:56;8,73
26.12.2016;18:39:58;8,77
27.12.2016;18:39:58;8,82
28.12.2016;18:39:58;8,74
29.12.2016;18:39:58;8,67
30.12.2016;18:39:50;8,75
03.01.2017;18:39:59;8,85
04.01.2017;18:38:36;8,88
05.01.2017;18:39:36;8,84
06.01.2017;18:39:35;8,8
09.01.2017;18:39:58;8,63
10.01.2017;18:39:28;8,57
11.01.2017;18:39:52;8,62
12.01.2017;18:39:58;8,54
13.01.2017;18:39:47;8,58
16.01.2017;18:39:49;8,61
17.01.2017;18:39:52;8,57
18.01.2017;18:38:53;8,58
19.01.2017;18:39:58;8,51
20.01.2017;18:39:56;8,75
23.01.2017;18:39:59;8,84
24.01.2017;18:39:59;8,88
25.01.2017;18:39:56;8,97
26.01.2017;18:39:55;8,88
27.01.2017;18:39:50;8,76
30.01.2017;18:39:30;8,84
31.01.2017;18:39:58;8,74
01.02.2017;18:39:45;8,77
02.02.2017;18:39:51;8,59
03.02.2017;18:39:52;8,63
06.02.2017;18:39:59;8,57
07.02.2017;18:39:56;8,56
08.02.2017;18:39:49;8,5
09.02.2017;18:39:58;8,52
10.02.2017;18:39:59;8,49
13.02.2017;18:39:59;8,44
14.02.2017;17:17:14;8,46
15.02.2017;18:39:36;8,45
16.02.2017;18:39:58;8,49
17.02.2017;18:39:58;8,47
20.02.2017;18:39:51;8,41
21.02.2017;18:39:58;8,39
22.02.2017;18:39:57;8,43
24.02.2017;18:39:53;8,47
27.02.2017;18:39:55;8,42
28.02.2017;18:39:53;8,45
01.03.2017;18:39:53;8,4
02.03.2017;18:39:58;8,4
03.03.2017;18:39:57;8,46
06.03.2017;18:39:59;8,3
07.03.2017;18:38:38;8,26
09.03.2017;18:39:40;8,38
10.03.2017;18:39:59;8,36
13.03.2017;18:39:58;8,3
14.03.2017;18:39:57;8,28
15.03.2017;18:39:38;8,31
16.03.2017;18:39:59;8,24
17.03.2017;18:39:48;8,24
20.03.2017;18:37:01;8,19
21.03.2017;18:39:56;8,19
22.03.2017;18:39:15;8,2
23.03.2017;18:39:38;8,22
24.03.2017;18:39:36;8,16
27.03.2017;18:39:49;8,11
28.03.2017;18:39:58;8,16
29.03.2017;18:39:56;8,17
30.03.2017;18:39:58;8,17
31.03.2017;18:39:45;8,22
03.04.2017;18:39:49;8,27
04.04.2017;18:39:57;8,22
05.04.2017;18:39:58;8,22
06.04.2017;18:39:56;8,16
