zcyc

tradedate;tradetime;period_0.75
30.07.2015;18:39:47;9,75
31.07.2015;18:38:53;9,86
03.08.2015;18:39:56;10,02
04.08.2015;18:39:28;9,91
05.08.2015;18:37:56;9,92
06.08.2015;18:39:37;9,96
07.08.2015;18:39:40;10,03
10.08.2015;18:39:13;9,95
11.08.2015;18:38:02;9,99
12.08.2015;18:37:32;9,94
13.08.2015;18:39:46;9,98
14.08.2015;18:38:43;10,07
17.08.2015;18:39:25;10,32
18.08.2015;18:38:44;10,26
19.08.2015;18:39:50;10,42
20.08.2015;18:39:28;10,61
21.08.2015;18:39:26;10,89
24.08.2015;18:34:47;10,88
25.08.2015;18:34:53;10,7
26.08.2015;18:38:10;10,56
27.08.2015;18:39:51;10,55
28.08.2015;18:38:06;10,66
31.08.2015;18:39:54;10,78
01.09.2015;18:39:39;10,64
02.09.2015;18:39:26;10,67
03.09.2015;18:39:04;10,64
04.09.2015;18:39:46;10,57
07.09.2015;18:39:49;10,65
08.09.2015;18:39:22;10,72
09.09.2015;18:39:35;10,6
10.09.2015;18:38:40;10,64
11.09.2015;18:39:52;10,69
14.09.2015;18:37:00;10,63
15.09.2015;18:36:43;10,56
16.09.2015;18:24:15;10,54
17.09.2015;18:30:08;10,47
18.09.2015;18:37:29;10,69
21.09.2015;18:39:52;10,6
22.09.2015;18:38:52;10,6
23.09.2015;18:39:15;10,64
24.09.2015;18:14:56;10,63
25.09.2015;18:24:03;10,68
28.09.2015;18:31:51;10,73
29.09.2015;18:32:09;10,75
30.09.2015;18:37:15;10,6
01.10.2015;18:33:30;10,45
02.10.2015;18:33:33;10,65
05.10.2015;18:38:50;10,26
06.10.2015;18:37:51;10,41
07.10.2015;17:45:46;10,24
08.10.2015;18:38:30;10,35
09.10.2015;18:38:48;10,1
12.10.2015;18:34:13;10,11
13.10.2015;18:17:27;10,35
14.10.2015;18:38:31;10,39
15.10.2015;18:39:51;10,26
16.10.2015;18:20:20;9,9
19.10.2015;18:33:26;10,07
20.10.2015;18:33:18;10,1
21.10.2015;18:39:51;10,06
22.10.2015;18:37:51;10,12
23.10.2015;18:39:06;10,09
26.10.2015;18:33:12;10,19
27.10.2015;18:37:03;10,34
28.10.2015;18:39:33;10,19
29.10.2015;18:39:17;10,14
30.10.2015;18:35:37;10,23
02.11.2015;18:28:56;10,21
03.11.2015;18:24:29;9,99
05.11.2015;18:36:16;10,14
06.11.2015;18:39:00;10,14
09.11.2015;18:39:08;10,12
10.11.2015;18:38:30;10,1
11.11.2015;18:38:29;10,09
12.11.2015;18:04:21;10,31
13.11.2015;18:33:13;10,3
16.11.2015;18:39:09;10,31
17.11.2015;18:39:58;10,17
18.11.2015;18:38:49;10,17
19.11.2015;18:39:31;10,01
20.11.2015;18:38:16;10,14
23.11.2015;18:35:10;9,98
24.11.2015;18:29:20;10,39
25.11.2015;18:17:15;10,48
26.11.2015;18:39:30;10,12
27.11.2015;18:39:14;10,41
30.11.2015;18:39:16;10,08
01.12.2015;18:39:58;10,32
02.12.2015;18:39:09;10,14
03.12.2015;18:39:03;10,11
04.12.2015;18:33:06;10,12
07.12.2015;18:39:55;10,24
08.12.2015;18:33:23;10,35
09.12.2015;18:39:10;10,42
10.12.2015;18:35:22;10,47
11.12.2015;18:39:01;10,63
14.12.2015;18:31:13;10,74
15.12.2015;18:39:58;10,79
16.12.2015;18:38:57;10,43
17.12.2015;18:39:03;10,61
18.12.2015;18:38:11;10,63
21.12.2015;18:37:48;10,62
22.12.2015;18:39:18;10,69
23.12.2015;18:39:21;10,56
24.12.2015;18:35:54;10,53
25.12.2015;18:38:56;10,4
28.12.2015;18:39:54;10,3
29.12.2015;18:39:50;10,21
30.12.2015;18:39:50;10,01
04.01.2016;18:38:18;9,7
05.01.2016;18:39:52;9,6
06.01.2016;18:30:27;9,61
11.01.2016;18:39:51;10,55
12.01.2016;18:39:51;10,62
13.01.2016;18:39:33;10,54
14.01.2016;18:39:49;10,46
15.01.2016;18:39:54;10,42
18.01.2016;18:39:53;10,43
19.01.2016;18:39:56;10,33
20.01.2016;18:39:57;10,4
21.01.2016;18:39:23;10,32
22.01.2016;18:39:51;9,96
25.01.2016;18:39:46;10,05
26.01.2016;18:39:51;9,88
27.01.2016;18:39:44;9,92
28.01.2016;18:39:35;9,81
29.01.2016;18:39:32;9,86
01.02.2016;18:38:47;9,93
02.02.2016;18:39:33;9,83
03.02.2016;18:39:26;9,72
04.02.2016;18:36:19;9,83
05.02.2016;18:36:45;9,81
08.02.2016;18:39:02;9,78
09.02.2016;18:39:41;9,81
10.02.2016;18:39:50;9,83
11.02.2016;18:39:01;9,79
12.02.2016;18:39:18;9,86
15.02.2016;18:38:47;9,77
16.02.2016;18:39:49;9,83
17.02.2016;18:39:34;9,94
18.02.2016;18:39:32;9,75
19.02.2016;18:39:52;9,76
20.02.2016;18:20:42;9,63
22.02.2016;18:38:38;9,52
24.02.2016;18:39:51;9,84
25.02.2016;18:39:24;9,84
26.02.2016;18:37:30;9,77
29.02.2016;18:39:59;9,6
01.03.2016;18:37:01;9,44
02.03.2016;18:37:23;9,46
03.03.2016;18:39:52;9,35
04.03.2016;18:37:23;9,29
07.03.2016;18:39:41;9,43
09.03.2016;18:39:00;9,43
10.03.2016;18:39:34;9,45
11.03.2016;18:39:07;9,4
14.03.2016;18:25:10;9,48
15.03.2016;18:39:36;9,53
16.03.2016;18:34:51;9,53
17.03.2016;18:39:53;9,45
18.03.2016;18:39:51;9,38
21.03.2016;18:39:56;9,48
22.03.2016;18:39:24;9,52
23.03.2016;18:39:40;9,67
24.03.2016;18:35:53;9,68
25.03.2016;18:38:44;9,69
28.03.2016;18:33:26;9,68
29.03.2016;18:37:20;9,74
30.03.2016;18:38:17;9,75
31.03.2016;18:39:52;9,95
01.04.2016;18:39:17;9,91
04.04.2016;18:39:55;9,9
05.04.2016;18:39:40;9,93
06.04.2016;18:39:55;9,9
07.04.2016;18:39:57;9,85
08.04.2016;18:39:49;9,84
11.04.2016;18:39:33;9,75
12.04.2016;18:36:58;9,77
13.04.2016;18:39:49;9,78
14.04.2016;18:37:20;9,8
15.04.2016;18:37:53;9,83
18.04.2016;18:39:18;9,81
19.04.2016;18:39:49;9,75
20.04.2016;18:39:56;9,66
21.04.2016;18:39:45;9,67
22.04.2016;18:39:57;9,72
25.04.2016;18:38:58;9,76
26.04.2016;18:39:47;9,79
27.04.2016;18:39:43;9,77
28.04.2016;18:39:54;9,73
29.04.2016;18:39:47;9,68
04.05.2016;18:39:56;9,75
05.05.2016;18:39:58;9,61
06.05.2016;18:39:50;9,55
10.05.2016;18:39:12;9,59
11.05.2016;18:39:47;9,55
12.05.2016;18:38:09;9,47
13.05.2016;18:39:58;9,49
16.05.2016;18:39:14;9,47
17.05.2016;18:38:52;9,48
18.05.2016;18:39:00;9,52
19.05.2016;18:39:52;9,54
20.05.2016;18:39:45;9,54
23.05.2016;18:39:45;9,51
24.05.2016;18:39:44;9,52
25.05.2016;18:38:05;9,56
26.05.2016;18:39:45;9,56
27.05.2016;18:39:53;9,64
30.05.2016;18:39:49;9,66
